¢#0,£#5097,¤#58
¢#0,£#1055,¤#105
¢#0,£#458,¤#277926
¢#0,£#13,¤#1453
¢#0,£#66507,¤#1082
¢#0,£#776,¤#218
¢#0,£#998,¤#57260
¢#0,£#1860,¤#5976
¢#0,£#6792,¤#1465
¢#0,£#83318,¨#450681,¤#9763291
¢#0,£#402,¤#442
¢#0,£#70754,¤#11069
¢#0,£#245,¤#4215
¢#0,£#25,¤#606653
¢#0,£#5660,¥#509,£#15856,¤#63547
¢#0,£#18936,¤#5
¢#0,£#16,¤#5510
¢#0,£#2514,¤#4919
¢#0,£#1585,¤#2596
¢#0,£#698,¥#24852,¤#73970
¢#0,£#13648,¤#95690
¢#0,£#336664,¤#3741
¢#0,¢#9,£#68910,¤#4154
¢#0,£#3191,£#2930,£#82714,¥#5686,¤#9204
¢#0,£#378,¥#8440,¤#249732
¢#0,£#9,¤#652
¢#0,£#9158,¤#181433
¢#0,£#1070,£#495,¤#272228
¢#0,£#7137,¥#60278,¤#884600
¢#0,£#74355,¤#83098
¢#0,£#110436,¤#85286
¢#0,£#1470,¤#109747
¢#0,£#3110,¤#9636
¢#0,£#272,¤#188
¢#0,£#3423,¤#1102
¢#0,£#7996,¥#7,¤#166894
¢#0,£#156626,¨#363133,¤#603242
¢#0,£#747,¤#676
¢#0,£#2223,¤#285
¢#0,£#453,¤#10910
¢#0,£#7,¥#39,£#82466,¤#234
¢#0,£#313,¤#17199
¢#0,£#250322,¥#12,¥#64411,¥#63,¤#116855
¢#0,£#2047,¤#2387
¢#0,£#22461,¥#55654,£#12195,¤#337361
¢#0,£#5214,¤#11784
¢#0,£#1785,¤#95809
¢#0,£#283,¤#101308
¢#0,£#556,¤#695434
¢#0,£#773,¤#6
¢#0,£#86010,¤#1239
¢#0,£#1084,¥#400,£#107080,¤#84944
¢#0,£#56422,¤#110
¢#0,£#159880,¤#89932
¢#0,£#220,¤#10
¢#0,£#1144,¤#58756
¢#0,£#40,¤#63066
¢#0,¢#101,£#76338,¤#7406
¢#0,£#1498,¤#68702
¢#0,£#6527,¥#474,¤#13275
¢#0,£#18,¤#77
¢#0,£#139,¤#93042
¢#0,£#164255,§#4061,£#1604,¤#1
¢#0,£#9180,¥#96,¤#147086
¢#0,£#45,£#10,¤#270
¢#0,£#538,¤#166724
¢#0,£#7573,¤#96555
¢#0,£#15,¤#340998
¢#0,£#803,¥#1257,¥#59685,¤#2124
¢#0,£#947,¤#441
¢#0,£#9094,¤#77726
¢#0,£#3488,£#30,¥#14210,¤#5292
¢#0,£#19,¤#56
¢#0,£#53783,¤#111668
¢#0,£#5764,¤#14819
¢#0,£#5672,¤#14097
¢#0,£#150,¤#875
¢#0,£#4096,¤#5455
¢#0,£#433,¤#1391
¢#0,¦#302,£#19511,¤#59
¢#0,£#5970,¤#255782
¢#0,£#2548,¤#1904
¢#0,£#36,¥#112,£#946767,¥#8,¤#358216
¢#0,£#588,¥#414,£#61434,¥#23559,¤#82470
¢#0,£#18192,¤#1263
¢#0,£#1651,¤#608
¢#0,£#19,¤#36
¢#0,£#1016,¤#2246
¢#0,£#1748,¤#81631
¢#0,£#125,¤#3730
¢#0,£#2096,¤#59124
¢#0,£#169732,¥#353,¤#417273
¢#0,£#480,¤#319
¢#0,£#96494,¥#1027514,£#625,¤#3
¢#0,£#6055,¤#835
¢#0,£#114821,£#142410,£#5680,¥#344202,£#520059,¤#53
¢#0,£#190,¥#9591,¤#332024
¢#0,£#751,¥#30829,¤#2659386
¢#0,£#5080,¤#715
¢#0,£#726,¤#2348
¢#0,£#202535,§#499990,£#1952,¤#10
¢#0,£#4652,£#11501,¤#68911
¢#0,£#163,¤#836
¢#0,£#24816,¤#81622
¢#0,¥#75,¢#2305,£#2,¤#65382
¢#0,£#87,¤#4201
¢#0,£#86494,¥#769985,¤#941083
¢#0,£#13,¤#68
¢#0,£#21205,¥#239596,¤#12727
¢#0,£#3292,¤#65370
¢#0,£#1333,¤#4415
¢#0,£#355,¤#341
¢#0,£#16481,¤#65011
¢#0,£#4698,¤#3901
¢#0,£#7741,¥#1707,¤#2835
¢#0,£#35,¤#10371
¢#0,£#544477,¤#80258
¢#0,£#16553,¤#553
¢#0,£#403,¤#8474
¢#0,£#4829,¤#16077
¢#0,£#1435,£#26,¤#695197
¢#0,£#95982,£#103,£#230043,¤#4954
¢#0,£#70475,¥#249853,¤#168579
¢#0,£#54043,¤#3098
¢#0,£#54270,¤#760
¢#0,£#67,¤#10276
¢#0,£#154863,¥#2470,¥#2178227,¥#1278423,¤#790175
¢#0,£#258,¤#189
¢#0,£#241029,¤#517
¢#0,¢#76004,£#215,¤#109035
¢#0,£#1663,¤#68008
¢#0,£#45,¤#151
¢#0,£#6884,¤#83436
¢#0,£#503,¤#14
¢#0,£#8283,¤#3271
¢#0,£#81199,§#418724,¤#15832478
¢#0,£#437,¤#8092
¢#0,£#6692,¤#10676
¢#0,£#815,¤#65116
¢#0,£#334883,¥#28926,£#57583,¤#666
¢#0,£#12826,¤#1896
¢#0,£#1243,¤#249
¢#0,£#73517,£#77899,¥#427267,¤#1557283
¢#0,£#13822,¥#65,¤#3960
¢#0,£#243661,¤#19918
¢#0,£#50,¤#268
¢#0,£#313,¨#92068,£#338928,¤#21784
¢#0,£#8014,¥#16215,¤#174144
¢#0,£#292,¤#579
¢#0,£#991,¥#424328,¤#260867
¢#0,£#3756,¤#2288
¢#0,¢#109,£#63494,¤#742
¢#0,£#56133,¤#3487
¢#0,£#500,¤#7310
¢#0,£#11470,¤#511414
¢#0,£#355,¤#480
¢#0,£#266,¤#1290
¢#0,£#7499,¤#3984
¢#0,£#558,¥#143,¤#887
¢#0,£#85,¥#1930,£#1631,¤#5
¢#0,£#6897,¤#5811
¢#0,£#5895,§#55,«#2759239,£#1399847,ª#6,¤#13815609
¢#0,£#17491,¤#5870
¢#0,£#7061,£#9311,¤#1196
¢#0,£#81,¤#10798
¢#0,£#2314,¤#549
¢#0,£#592,¤#8411
¢#0,£#345899,¨#78333,¤#1228480
¢#0,£#18522,¤#4772
¢#0,£#8587,¥#7,£#21519,¤#80253
¢#0,£#249059,¥#269472,¤#668445
¢#0,£#1664,¤#8280
¢#0,£#10469,¤#7202
¢#0,£#1740,¤#9157
¢#0,£#79249,¥#2982,¤#1622366
¢#0,£#10610,¤#257359
¢#0,£#242024,¤#10491
¢#0,£#303,¤#50
¢#0,¢#65,£#98811,¤#50
¢#0,£#56458,¤#88142
¢#0,£#22,£#250809,¥#19821,¤#64893
¢#0,£#58338,¤#28139
¢#0,£#24,¤#339906
¢#0,£#4195,¤#4518
¢#0,£#1542,¤#3040
¢#0,£#1801,¤#178343
¢#0,£#59485,£#7,¥#186696,£#1054197,¤#273
¢#0,£#1995,¥#614865,¤#612382
¢#0,£#3515,¥#182,¤#2416
¢#0,£#15519,¤#64755
¢#0,£#217,¤#3635
¢#0,£#115,¤#985
¢#0,£#549,¤#35
¢#0,£#2557,¤#171
¢#0,£#423,¤#998
¢#0,£#25,¤#84907
¢#0,£#24,¥#2872,¤#67037
¢#0,£#14408,¥#2396,¤#149596
¢#0,£#707,¥#6267,¤#850484
¢#0,£#5057,¤#143
¢#0,£#2170,¨#29,¤#719162
¢#0,£#85,¤#93355
¢#0,£#1304,¤#189
¢#0,£#57,¤#6148
¢#0,£#67066,¤#190
¢#0,£#16126,£#66463,¤#95725
¢#0,£#26269,¤#81624
¢#0,£#1394,¤#260585
¢#0,£#75785,¥#88648,¤#700048
¢#0,£#727,¤#788
¢#0,£#14,¤#20439
¢#0,£#51,¤#616426
¢#0,£#4870,¤#1031338
¢#0,£#70445,¤#3685
¢#0,£#12017,¤#7285
¢#0,£#56,¤#125
¢#0,£#169,¤#12082
¢#0,£#20866,¤#20
¢#0,£#11951,¤#3010
¢#0,£#1247,¨#516282,¤#3449503
¢#0,£#445,¤#2011
¢#0,£#21799,¥#3355,¤#339395
¢#0,£#11300,¤#245186
¢#0,£#399,¥#199,¤#91159
¢#0,£#321,¤#8327
¢#0,£#3230,§#324576,«#8,¤#18958
¢#0,£#107,¥#65724,¤#80446
¢#0,£#130,¤#528581
¢#0,£#131,¤#44
¢#0,£#72556,¥#2325,¤#260524
¢#0,£#2895,¤#100220
¢#0,£#26,¤#606131
¢#0,£#68815,¤#6202
¢#0,£#2224,¤#13734
¢#0,£#19978,£#70437,§#179526,ª#2753157,£#4,¤#4
¢#0,£#56618,¤#27729
¢#0,£#12693,¤#152523
¢#0,£#10219,¤#13
¢#0,£#389,¤#262
¢#0,£#2549,£#75849,¥#248381,¤#1045434
¢#0,£#186,¤#584432
¢#0,£#78634,¤#9088
¢#0,£#535,¤#1590
¢#0,£#2235,¤#9252
¢#0,£#600,¤#10431
¢#0,£#75638,¨#99557,¤#338424
¢#0,£#91600,¤#193299
¢#0,£#242326,¥#109119,¤#72676
¢#0,£#23588,¤#61410
¢#0,£#434,¥#1695,¤#10062
¢#0,£#1331,¤#233445
¢#0,£#69232,¤#16683
¢#0,£#72254,£#261327,¥#189092,¤#68610
¢#0,£#7402,¤#7221
¢#0,£#227786,¤#113003
¢#0,£#282,¤#135
¢#0,£#15108,¤#12
¢#0,£#6088,£#170580,¥#268,£#424903,¤#62
¢#0,£#34,¤#4743
¢#0,£#72352,¤#364474
¢#0,£#2334,¤#144015
¢#0,£#61639,¥#3696,¤#1222420
¢#0,£#13293,¤#2540
¢#0,£#84,¤#739
¢#0,£#465,¥#325414,¤#111025
¢#0,£#4780,¥#780,¤#252621
¢#0,£#850,¥#17972,£#74875,¤#25
¢#0,£#47,£#84505,¤#82823
¢#0,£#10697,¥#85056,¤#244634
¢#0,£#57403,¤#1073
¢#0,£#17083,¥#86022,¥#582986,¤#1380880
¢#0,£#1992,¤#302
¢#0,£#376,¥#65930,¤#97107
¢#0,£#7058,¥#423978,¤#615261
¢#0,£#1307,¤#2410
¢#0,£#1085,¤#169235
¢#0,£#4381,¤#14467
¢#0,¢#1829,£#67418,¥#346350,£#1,¤#11566
¢#0,£#86,¤#64
¢#0,£#113,¤#3458
¢#0,£#67781,¤#1329
¢#0,£#20636,¥#770,¤#323804
¢#0,£#3818,¥#69787,¤#440644
¢#0,£#21101,¤#400
¢#0,£#2453,¥#5190,¤#5050
¢#0,£#978,¥#918,¤#282565
¢#0,£#946,¤#123
¢#0,£#21784,¤#338
¢#0,£#65511,¥#17,¤#11727
¢#0,£#1589,¤#6194
¢#0,£#5356,¥#64606,¤#19261
¢#0,£#1887,¤#184
¢#0,£#10475,¤#58980
¢#0,£#6400,¤#4945
¢#0,£#720,¤#60
¢#0,£#495,¥#457,¤#69033
¢#0,£#19249,¥#249078,£#154658,¤#7717
¢#0,£#349,¥#6436,£#264690,£#421545,¥#536,¤#202845
¢#0,£#19491,¥#3618,£#58479,¥#3188,£#105733,¥#4863,£#76790,¥#6517,£#332769,¥#8,£#15144,¥#119,£#665192,¤#1
¢#0,£#5,¤#1810
¢#0,£#6063,¤#13979
¢#0,£#27,¤#1262
¢#0,£#236,¤#1325
¢#0,£#763,¤#3128
¢#0,£#5122,¤#92
¢#0,£#14784,¥#156,¤#176521
¢#0,£#644,£#100340,¤#83329
¢#0,£#8252,¤#264570
¢#0,£#69530,¤#185286
¢#0,£#20198,£#329080,¥#175460,¤#1402843
¢#0,£#774,¥#11850,¤#424243
¢#0,£#75409,¥#372,¤#93574
¢#0,£#7431,¤#18
¢#0,£#4994,¤#95
¢#0,£#2468,¥#789,¤#67163
¢#0,£#25,¤#7386
¢#0,£#884,¤#160526
¢#0,£#982,¤#87391
¢#0,£#2536,¤#15158
¢#0,£#5367,¤#66215
¢#0,£#1237,¤#915
¢#0,£#41,¥#1246,£#11920,¥#763,¤#244479
¢#0,£#204,¤#90
¢#0,©#1194,¢#14,£#121,¥#4361,¤#79562
¢#0,£#105,¥#7747,£#54591,¥#11,£#11457,¤#59
¢#0,£#53,¥#29582,¤#1529175
¢#0,£#14415,¤#6809
¢#0,£#1455,¤#312
¥#0,¤#782907
¢#0,£#15119,¥#581294,¤#1217430
¢#0,£#85479,¥#77748,£#670,£#36,¤#4995
¢#0,£#113,¤#66059
¢#0,£#454,¤#4121
¢#0,£#10114,§#3522,¤#89726
¢#0,£#68083,¤#20831
¢#0,£#4032,¤#18
¢#0,£#125,¤#1110
¢#0,£#226978,¥#191,£#175940,¤#1308
¢#0,£#725,¤#380
¢#0,£#1606,¤#70183
¢#0,£#5067,¥#2280,£#16749,¤#2
¢#0,£#61977,¤#602
¢#0,£#13729,¤#560
¢#0,£#76431,¤#19220
¢#0,£#12,¤#357383
¢#0,£#8733,¤#186400
¢#0,£#54735,¤#7849
¢#0,£#97745,¤#337482
¢#0,£#74108,¤#4383
¢#0,£#308,¤#10341
¢#0,£#73168,¤#622210
¢#0,£#15952,¤#417124
¢#0,£#9521,§#343947,¤#1203721
¢#0,£#144,¤#2527
¢#0,£#121,¤#1264
¢#0,£#6468,¤#68517
¢#0,£#5971,¤#75231
¢#0,£#3386,¥#225,¤#495686
¢#0,£#9017,¤#542
¢#0,£#2523,¤#523
¢#0,£#2580,¤#725
¢#0,£#83071,¤#558
¢#0,£#72680,¤#32
¢#0,£#3833,¤#1260
¢#0,£#77328,¤#88309
¢#0,£#1598,¤#568
¢#0,£#601,¤#89189
¢#0,£#82,¤#151
¢#0,£#12997,¤#112
¢#0,£#56206,¤#118703
¢#0,¢#10,£#1470,¤#59864
¢#0,£#5640,¤#22404
¢#0,£#419,¤#9874
¢#0,¦#155,£#69386,¤#180
¢#0,£#188409,¨#1019794,£#10,¤#10
¢#0,£#4938,¤#18734
¢#0,£#14835,¨#106,¤#422172
¢#0,£#844,¤#236514
¢#0,£#15,¤#74724
¢#0,£#7167,¤#81727
¢#0,£#1246,¤#2394
¢#0,£#2110,¤#5200
¢#0,£#31,¤#191917
¢#0,£#4781,¤#17344
¢#0,£#94643,¤#25
¢#0,£#11474,¥#3262,¤#260039
¢#0,£#69917,¥#316,¤#89234
¢#0,£#482,¤#788
¢#0,£#645,¤#918
¢#0,£#10592,¤#10
¢#0,£#3837,¤#2775
¢#0,£#11658,¥#96,£#63750,¤#84747
¢#0,£#29711,£#236298,¤#18731
¢#0,£#258381,¤#20574
¢#0,£#7565,¥#6597,¤#146733
¢#0,£#1010,¤#85693
¢#0,£#164721,¤#479
¢#0,£#2224,¤#1817
¢#0,£#1449,¥#59273,¥#89385,¤#9725
¢#0,£#3157,¥#9807,¤#6448
¢#0,£#250270,¤#106408
¢#0,£#262867,¤#3629442
¢#0,£#74814,¥#157169,¤#22848
¢#0,£#58276,¤#4253
¢#0,£#18,¤#330
¢#0,£#416875,¥#14214,¤#148364
¢#0,£#92840,¥#1131338,¤#590589
¢#0,£#11852,¤#74651
¢#0,£#28,¥#3476,£#65449,¥#2,¤#539081
¢#0,£#1366,¥#4828,¤#84962
¢#0,£#3418,¥#60961,¤#23406
¢#0,£#5455,¤#13
¢#0,£#130,¤#134
¢#0,£#10878,¤#629
¢#0,£#305,¥#206,¤#433818
¢#0,£#259,¤#1732
¢#0,¢#16,£#8853,¥#383,¤#88585
¢#0,£#66566,¥#8574,¤#95334
¢#0,£#67489,¤#102881
¢#0,£#5770,¤#81473
¢#0,£#56748,¥#10,¤#26208
¢#0,£#62876,¥#615,§#353580,¤#699460
¢#0,£#18026,¥#50,¤#83516
¢#0,£#5136,¥#10725,¤#946
¢#0,£#4857,¤#3811
¢#0,£#11886,¥#4120,£#81334,¤#7070
¢#0,£#94945,£#84786,¤#174348
¢#0,£#65939,¤#430390
¢#0,£#305,¤#163253
¢#0,£#3184,¤#321556
¢#0,£#11792,¤#185
¢#0,£#2317,¤#3301
¢#0,£#530,¤#3809
¢#0,£#53766,¤#1892
¢#0,£#2110,¤#425
¢#0,£#97496,¤#248829
¢#0,£#66538,¤#26221
¢#0,£#10107,¤#567
£#0,¤#782962
¢#0,£#58690,¤#21006
¢#0,£#2113,¤#19205
¢#0,£#1532,¥#102,¤#19286
¢#0,£#6205,§#244404,ª#11,£#5437413,¤#14
¢#0,£#46,¤#11841
¢#0,£#3150,¤#3154
¢#0,£#10135,¥#177,¤#676070
¢#0,£#4134,¤#1907
¢#0,£#1357,¤#4080
¢#0,£#2428,¤#341558
¢#0,£#1092,¤#208
¢#0,£#6602,£#432548,¤#78676
¢#0,£#2898,¥#163777,¤#22089
¢#0,£#87493,¤#1224
¢#0,£#11546,¤#8061
¢#0,£#2010,£#252143,¤#2835
¢#0,£#2196,¤#760
¢#0,£#62510,¤#177482
¢#0,£#89050,¤#613506
¢#0,£#1442,£#1034,¤#90821
¢#0,¢#25,£#1552,¤#83114
¢#0,£#33,¤#9891
¢#0,£#1840,¤#3145
¢#0,£#4214,¤#267
¢#0,£#55418,¥#7237,£#278287,¥#406856,¤#433783
¢#0,£#70084,¤#187938
¢#0,£#57188,¥#22114,¤#89493
¢#0,£#4275,¤#53183
¢#0,£#1172,¤#5885
¢#0,¥#66,¢#129,£#8436,¥#11154,£#67414,¤#7
¢#0,£#68251,¤#529303
¢#0,£#4291,¤#17
¢#0,£#3932,¤#233
¢#0,£#8355,¥#7478,¥#65134,£#73,£#22208,¤#63058
¢#0,£#19571,£#241702,¥#105453,£#170659,¤#16
¢#0,£#8703,¥#5,£#86352,¥#9991,£#406122,¤#8988
¢#0,£#80721,¤#331973
¢#0,£#81321,¤#275
¢#0,£#515,¤#5194
¢#0,£#283,¤#76662
¢#0,£#80938,¤#1886
¢#0,£#664,¤#405015
¢#0,£#8921,¤#64079
¢#0,£#65800,¥#96379,¤#365657
¢#0,£#58239,¤#2
¢#0,£#2449,¤#9667
¢#0,£#39,¤#4166
¢#0,£#3441,¤#2715
¢#0,£#29,¤#1921
¢#0,£#92232,£#11,¤#77254
¢#0,£#16807,¤#310
¢#0,£#3131,¤#16690
¢#0,£#220,¤#275
¢#0,£#3340,¤#990
¢#0,£#4410,¤#419
¢#0,£#240,¤#13151
¢#0,£#1915,¥#475,¤#236062
¢#0,£#94757,¤#72818
¢#0,£#1109,£#69913,¤#0
¢#0,£#133,¤#155693
¢#0,£#461,¥#1137,¤#2410
¢#0,£#73263,¤#372
